No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
48;SqueezeExcitation: 5-34;[1, 480, 14, 14];0.7850342;49.66833020996314;33.1422333990576;39.421003999999996;0;32.2233225990576;1.531518;0.9189108;8.715808209963143;0.0;0
49;Conv2d: 6-113;[1, 112, 14, 14];0.7774658;48.4820565619847;32.49972805052757;39.503324;0;32.28522685052757;0.357502;0.21450119999999998;8.621230561984703;0.0;0
50;BatchNorm2d: 6-114;[1, 112, 14, 14];0.77075195;48.3613784859298;32.49972805052757;39.503324;0;32.28522685052757;0.357502;0.21450119999999998;8.500552485929802;0.0;0
51;MBConv: 3-13;[1, 112, 14, 14];0.77734375;64.64130635392573;42.89801639849716;57.021356000000004;0;42.68351519849716;0.357502;0.21450119999999998;7.26244835392572;0.0;0
52;MBConv: 3-14;[1, 112, 14, 14];0.77441406;80.89950240405962;53.29630474646676;74.539388;0;53.08180354646676;0.357502;0.21450119999999998;6.002612404059619;0.0;0
53;Conv2d: 6-141;[1, 672, 14, 14];0.78271484;82.67773570386393;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;5.879069703863934;0.0;0
54;BatchNorm2d: 6-142;[1, 672, 14, 14];0.7733154;82.92648580796717;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;6.127819807967171;0.0;0
55;SiLU: 6-143;[1, 672, 14, 14];0.7786865;82.55830192994958;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;5.759635929949582;0.0;0
56;Conv2d: 6-144;[1, 672, 7, 7];0.77197266;85.04101473985051;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.528548739850521;0.0;0
57;BatchNorm2d: 6-145;[1, 672, 7, 7];0.77111816;84.85363144993593;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.341165449935943;0.0;0
58;SiLU: 6-146;[1, 672, 7, 7];0.7886963;84.72131517397051;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.2088491739705205;0.0;0
59;SqueezeExcitation: 5-46;[1, 672, 7, 7];0.77563477;84.58057020216327;56.48049545227381;78.976772;0;56.158877452273806;0.5360300000000001;0.32161800000000007;5.067768202163279;0.0;0
60;Conv2d: 6-152;[1, 192, 7, 7];0.7713623;84.03009397002218;56.28932145963885;79.026164;0;56.197364259638846;0.153262;0.0919572;4.850667970022187;0.0;0
61;BatchNorm2d: 6-153;[1, 192, 7, 7];0.7753906;84.00094025792835;56.28932145963885;79.026164;0;56.197364259638846;0.153262;0.0919572;4.8215142579283565;0.0;0
62;MBConv: 3-16;[1, 192, 7, 7];0.7767334;95.94471527394057;65.1293025579784;91.897172;0;65.03734535797841;0.153262;0.0919572;3.894281273940578;0.0;0
63;MBConv: 3-17;[1, 192, 7, 7];0.77282715;107.62635151789543;73.96928365631797;104.76818;0;73.87732645631797;0.153262;0.0919572;2.7049095178954303;0.0;0
64;MBConv: 3-18;[1, 192, 7, 7];0.772583;119.30018942191154;82.80926475465753;117.639188;0;82.71730755465754;0.153262;0.0919572;1.5077394219115376;0.0;0
65;Conv2d: 6-193;[1, 1152, 7, 7];0.77783203;120.0193246020261;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.376458602026105;0.0;0
66;BatchNorm2d: 6-194;[1, 1152, 7, 7];0.7730713;120.09916244207656;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.4562964420765638;0.0;0
67;SiLU: 6-195;[1, 1152, 7, 7];0.77612305;119.91286250802463;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.269996508024633;0.0;0
68;Conv2d: 6-196;[1, 1152, 7, 7];0.7783203;124.39538293415764;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;1.1802289341576397;0.0;0
69;BatchNorm2d: 6-197;[1, 1152, 7, 7];0.774292;124.44547566995108;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;1.2303216699510813;0.0;0
70;SiLU: 6-198;[1, 1152, 7, 7];0.78271484;124.23633516407655;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;1.0211811640765518;0.0;0
71;SqueezeExcitation: 5-62;[1, 1152, 7, 7];0.774292;123.97578878196593;86.4863687157413;122.29701200000001;0;85.9349651157413;0.919006;0.5514036;0.7597707819659263;0.0;0
72;Conv2d: 6-204;[1, 320, 7, 7];0.77978516;123.24080518417047;86.19096728487207;122.43813200000001;0;86.03780048487208;0.255278;0.1531668;0.5473951841704547;0.0;0
73;BatchNorm2d: 6-205;[1, 320, 7, 7];0.77612305;123.20549737608978;86.19096728487207;122.43813200000001;0;86.03780048487208;0.255278;0.1531668;0.5120873760897666;0.0;0
74;Conv2d: 3-20;[1, 1280, 7, 7];0.7729492;123.92459491403784;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.3086409140378237;0.0;0
75;BatchNorm2d: 3-21;[1, 1280, 7, 7];0.77893066;123.99593436202045;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.37998036202043295;0.0;0
76;SiLU: 3-22;[1, 1280, 7, 7];0.7799072;123.7500716419519;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.1341176419518888;0.0;0
77;AdaptiveAvgPool2d: 1-2;[1, 1280, 1, 1];0.7772217;122.72198486816605;86.1634678927631;122.59493200000001;0;86.1509122927631;0.020926000000000004;0.012555600000000002;0.10612686816602945;0.0;0
78;Linear: 2-11;[1, 1000];0.77075195;122.61385983798978;86.1607798927631;122.59493200000001;0;86.1509122927631;0.016446000000000002;0.0098676;0.0024818379897624254;0.0;0
